month,year,month_number,start_date,end_date,bank_name,no_atms_on_site,no_atms_off_site,no_pos_on_line,no_pos_off_line,no_credit_cards,no_credit_card_atm_txn,no_credit_card_pos_txn,no_credit_card_atm_txn_value_in_mn,no_credit_card_pos_txn_value_in_mn,no_debit_cards,no_debit_card_atm_txn,no_debit_card_pos_txn,no_debit_card_atm_txn_value_in_mn,no_debit_card_pos_txn_value_in_mn
November,2011,11,01-11-2011,30-11-2011,BANK OF BARODA,1242,580,4332,0,70776,2046,72198,1.5,190.4,7307099,6715369,462172,25166.7,695.3
November,2011,11,01-11-2011,30-11-2011,STATE BANK OF INDIA,11894,9731,0,0,2124747,21969,3111008,101.47,6030.76,84954000,150942000,5076000,402888,7461.3
November,2011,11,01-11-2011,30-11-2011,HDFC BANK LTD,3301,3537,160689,0,5428560,60670,6398578,382.017,21076.6,14636241,22853025,5691266,94313.5,8481.43
November,2011,11,01-11-2011,30-11-2011,ICICI BANK LTD,2984,4432,143700,4335,2956176,8414,4241764,45.0255,9534.98,15542959,23584485,4265145,102347,7022.6
November,2011,11,01-11-2011,30-11-2011,AXIS BANK LTD,1856,6236,191982,0,711768,8177,726776,23.277,1927.8,11472497,43710716,2469012,99702.3,4103.9
October,2011,10,01-10-2011,31-10-2011,BANK OF BARODA,1232,582,4360,0,70843,1715,80948,1.6,223.3,7156478,7114838,507555,27547.1,923.2
October,2011,10,01-10-2011,31-10-2011,STATE BANK OF INDIA,11894,9731,0,0,2112399,22766,3422634,103.509,7396.86,83188000,165870000,5522000,436933,10237.1
October,2011,10,01-10-2011,31-10-2011,HDFC BANK LTD,3263,3437,154854,0,5379671,62491,7159652,393.847,24619.6,14391592,25082453,6254422,104919,10038.9
October,2011,10,01-10-2011,31-10-2011,ICICI BANK LTD,2956,4188,140824,4192,2996874,9051,4742669,47.3351,11952,15902251,25654707,5209877,112730,9880.07
October,2011,10,01-10-2011,31-10-2011,AXIS BANK LTD,1835,5991,191379,0,702149,8562,781562,25.353,2210.92,11205040,47596452,2749498,105826,5370.22
September,2011,9,01-09-2011,30-09-2011,BANK OF BARODA,1215,585,4393,0,70851,2631,69725,0.8,184.9,7715488,5806952,396462,21145.7,627.4
September,2011,9,01-09-2011,30-09-2011,STATE BANK OF INDIA,11894,9731,0,0,2107105,22008,2980112,96.0091,5909.21,81796000,147711000,5029000,380441,7321
September,2011,9,01-09-2011,30-09-2011,HDFC BANK LTD,3222,3298,149950,0,5374542,56990,6248345,341.774,19994.2,14138219,22415249,5270180,90842.4,7450.24
September,2011,9,01-09-2011,30-09-2011,ICICI BANK LTD,2943,3970,138524,4133,3025176,8346,4230492,44.443,9598.16,16231163,23600035,4335292,100026,6881.49
September,2011,9,01-09-2011,30-09-2011,AXIS BANK LTD,1826,5765,190860,0,682791,8364,692255,24.0624,1805.11,11007770,42027635,2339732,93082.9,3965.6
