Region,State,Bank Group,Bank,December 2022 : Rural,December 2022 : Semi-urban,December 2022 : Urban,December 2022 : Metropolitan,December 2022 : Total,September 2022 : Rural,September 2022 : Semi-urban,September 2022 : Urban,September 2022 : Metropolitan,September 2022 : Total,June 2022 : Rural,June 2022 : Semi-urban,June 2022 : Urban,June 2022 : Metropolitan,June 2022 : Total,March 2022 : Rural,March 2022 : Semi-urban,March 2022 : Urban,March 2022 : Metropolitan,March 2022 : Total,December 2021 : Rural,December 2021 : Semi-urban,December 2021 : Urban,December 2021 : Metropolitan,December 2021 : Total,September 2021 : Rural,September 2021 : Semi-urban,September 2021 : Urban,September 2021 : Metropolitan,September 2021 : Total,June 2021 : Rural,June 2021 : Semi-urban,June 2021 : Urban,June 2021 : Metropolitan,June 2021 : Total,March 2021 : Rural,March 2021 : Semi-urban,March 2021 : Urban,March 2021 : Metropolitan,March 2021 : Total,December 2020 : Rural,December 2020 : Semi-urban,December 2020 : Urban,December 2020 : Metropolitan,December 2020 : Total,September 2020 : Rural,September 2020 : Semi-urban,September 2020 : Urban,September 2020 : Metropolitan,September 2020 : Total,June 2020 : Rural,June 2020 : Semi-urban,June 2020 : Urban,June 2020 : Metropolitan,June 2020 : Total,March 2020 : Rural,March 2020 : Semi-urban,March 2020 : Urban,March 2020 : Metropolitan,March 2020 : Total,December 2019 : Rural,December 2019 : Semi-urban,December 2019 : Urban,December 2019 : Metropolitan,December 2019 : Total,September 2019 : Rural,September 2019 : Semi-urban,September 2019 : Urban,September 2019 : Metropolitan,September 2019 : Total,June 2019 : Rural,June 2019 : Semi-urban,June 2019 : Urban,June 2019 : Metropolitan,June 2019 : Total,March 2019 : Rural,March 2019 : Semi-urban,March 2019 : Urban,March 2019 : Metropolitan,March 2019 : Total,December 2018 : Rural,December 2018 : Semi-urban,December 2018 : Urban,December 2018 : Metropolitan,December 2018 : Total,September 2018 : Rural,September 2018 : Semi-urban,September 2018 : Urban,September 2018 : Metropolitan,September 2018 : Total,June 2018 : Rural,June 2018 : Semi-urban,June 2018 : Urban,June 2018 : Metropolitan,June 2018 : Total,March 2018 : Rural,March 2018 : Semi-urban,March 2018 : Urban,March 2018 : Metropolitan,March 2018 : Total,December 2017 : Rural,December 2017 : Semi-urban,December 2017 : Urban,December 2017 : Metropolitan,December 2017 : Total,September 2017 : Rural,September 2017 : Semi-urban,September 2017 : Urban,September 2017 : Metropolitan,September 2017 : Total,June 2017 : Rural,June 2017 : Semi-urban,June 2017 : Urban,June 2017 : Metropolitan,June 2017 : Total,March 2017 : Rural,March 2017 : Semi-urban,March 2017 : Urban,March 2017 : Metropolitan,March 2017 : Total,December 2016 : Rural,December 2016 : Semi-urban,December 2016 : Urban,December 2016 : Metropolitan,December 2016 : Total,September 2016 : Rural,September 2016 : Semi-urban,September 2016 : Urban,September 2016 : Metropolitan,September 2016 : Total,June 2016 : Rural,June 2016 : Semi-urban,June 2016 : Urban,June 2016 : Metropolitan,June 2016 : Total,March 2016 : Rural,March 2016 : Semi-urban,March 2016 : Urban,March 2016 : Metropolitan,March 2016 : Total,December 2015 : Rural,December 2015 : Semi-urban,December 2015 : Urban,December 2015 : Metropolitan,December 2015 : Total,September 2015 : Rural,September 2015 : Semi-urban,September 2015 : Urban,September 2015 : Metropolitan,September 2015 : Total,June 2015 : Rural,June 2015 : Semi-urban,June 2015 : Urban,June 2015 : Metropolitan,June 2015 : Total,March 2015 : Rural,March 2015 : Semi-urban,March 2015 : Urban,March 2015 : Metropolitan,March 2015 : Total,December 2014 : Rural,December 2014 : Semi-urban,December 2014 : Urban,December 2014 : Metropolitan,December 2014 : Total,September 2014 : Rural,September 2014 : Semi-urban,September 2014 : Urban,September 2014 : Metropolitan,September 2014 : Total,June 2014 : Rural,June 2014 : Semi-urban,June 2014 : Urban,June 2014 : Metropolitan,June 2014 : Total,March 2014 : Rural,March 2014 : Semi-urban,March 2014 : Urban,March 2014 : Metropolitan,March 2014 : Total,December 2013 : Rural,December 2013 : Semi-urban,December 2013 : Urban,December 2013 : Metropolitan,December 2013 : Total,September 2013 : Rural,September 2013 : Semi-urban,September 2013 : Urban,September 2013 : Metropolitan,September 2013 : Total,June 2013 : Rural,June 2013 : Semi-urban,June 2013 : Urban,June 2013 : Metropolitan,June 2013 : Total,March 2013 : Rural,March 2013 : Semi-urban,March 2013 : Urban,March 2013 : Metropolitan,March 2013 : Total,December 2012 : Rural,December 2012 : Semi-urban,December 2012 : Urban,December 2012 : Metropolitan,December 2012 : Total,September 2012 : Rural,September 2012 : Semi-urban,September 2012 : Urban,September 2012 : Metropolitan,September 2012 : Total,June 2012 : Rural,June 2012 : Semi-urban,June 2012 : Urban,June 2012 : Metropolitan,June 2012 : Total,March 2012 : Rural,March 2012 : Semi-urban,March 2012 : Urban,March 2012 : Metropolitan,March 2012 : Total,December 2011 : Rural,December 2011 : Semi-urban,December 2011 : Urban,December 2011 : Metropolitan,December 2011 : Total,September 2011 : Rural,September 2011 : Semi-urban,September 2011 : Urban,September 2011 : Metropolitan,September 2011 : Total,June 2011 : Rural,June 2011 : Semi-urban,June 2011 : Urban,June 2011 : Metropolitan,June 2011 : Total,March 2011 : Rural,March 2011 : Semi-urban,March 2011 : Urban,March 2011 : Metropolitan,March 2011 : Total,December 2010 : Rural,December 2010 : Semi-urban,December 2010 : Urban,December 2010 : Metropolitan,December 2010 : Total,September 2010 : Rural,September 2010 : Semi-urban,September 2010 : Urban,September 2010 : Metropolitan,September 2010 : Total,June 2010 : Rural,June 2010 : Semi-urban,June 2010 : Urban,June 2010 : Metropolitan,June 2010 : Total,March 2010 : Rural,March 2010 : Semi-urban,March 2010 : Urban,March 2010 : Metropolitan,March 2010 : Total,December 2009 : Rural,December 2009 : Semi-urban,December 2009 : Urban,December 2009 : Metropolitan,December 2009 : Total,September 2009 : Rural,September 2009 : Semi-urban,September 2009 : Urban,September 2009 : Metropolitan,September 2009 : Total,June 2009 : Rural,June 2009 : Semi-urban,June 2009 : Urban,June 2009 : Metropolitan,June 2009 : Total,March 2009 : Rural,March 2009 : Semi-urban,March 2009 : Urban,March 2009 : Metropolitan,March 2009 : Total,December 2008 : Rural,December 2008 : Semi-urban,December 2008 : Urban,December 2008 : Metropolitan,December 2008 : Total,September 2008 : Rural,September 2008 : Semi-urban,September 2008 : Urban,September 2008 : Metropolitan,September 2008 : Total,June 2008 : Rural,June 2008 : Semi-urban,June 2008 : Urban,June 2008 : Metropolitan,June 2008 : Total,March 2008 : Rural,March 2008 : Semi-urban,March 2008 : Urban,March 2008 : Metropolitan,March 2008 : Total,December 2007 : Rural,December 2007 : Semi-urban,December 2007 : Urban,December 2007 : Metropolitan,December 2007 : Total,September 2007 : Rural,September 2007 : Semi-urban,September 2007 : Urban,September 2007 : Metropolitan,September 2007 : Total,June 2007 : Rural,June 2007 : Semi-urban,June 2007 : Urban,June 2007 : Metropolitan,June 2007 : Total,March 2007 : Rural,March 2007 : Semi-urban,March 2007 : Urban,March 2007 : Metropolitan,March 2007 : Total,December 2006 : Rural,December 2006 : Semi-urban,December 2006 : Urban,December 2006 : Metropolitan,December 2006 : Total,September 2006 : Rural,September 2006 : Semi-urban,September 2006 : Urban,September 2006 : Metropolitan,September 2006 : Total,June 2006 : Rural,June 2006 : Semi-urban,June 2006 : Urban,June 2006 : Metropolitan,June 2006 : Total,March 2006 : Rural,March 2006 : Semi-urban,March 2006 : Urban,March 2006 : Metropolitan,March 2006 : Total
Eastern Region,Andaman & Nicobar Islands,SBI and its Associates,STATE BANK OF INDIA,16,3,13,0,32,16,3,12,0,31,16,3,12,0,31,16,3,10,0,29,16,3,10,0,29,16,3,10,0,29,16,3,10,0,29,16,3,10,0,29,16,3,10,0,29,16,3,10,0,29,15,3,10,0,28,15,3,9,0,27,15,3,10,0,28,15,3,10,0,28,15,3,9,0,27,15,3,9,0,27,15,3,9,0,27,15,3,9,0,27,15,3,9,0,27,15,3,9,0,27,15,3,9,0,27,15,3,9,0,27,15,3,9,0,27,15,3,9,0,27,15,3,9,0,27,15,3,9,0,27,15,3,9,0,27,15,3,9,0,27,15,2,9,0,26,15,2,9,0,26,15,2,9,0,26,15,2,9,0,26,15,2,9,0,26,15,2,9,0,26,15,2,9,0,26,15,2,9,0,26,14,2,9,0,25,14,2,9,0,25,14,2,9,0,25,14,2,9,0,25,14,2,9,0,25,14,2,9,0,25,14,2,9,0,25,14,2,9,0,25,14,2,9,0,25,14,2,9,0,25,14,2,9,0,25,14,2,9,0,25,14,2,9,0,25,14,2,8,0,24,14,2,7,0,23,14,2,7,0,23,13,2,7,0,22,12,2,6,0,20,12,2,6,0,20,12,2,6,0,20,12,2,6,0,20,12,2,6,0,20,12,2,6,0,20,12,2,6,0,20,12,2,6,0,20,12,2,6,0,20,12,2,6,0,20,12,2,6,0,20,12,2,6,0,20,12,2,6,0,20,12,2,6,0,20,12,2,4,0,18
Eastern Region,Andaman & Nicobar Islands,Nationalised Banks,BANK OF BARODA,1,1,2,0,4,1,1,2,0,4,1,1,2,0,4,1,1,2,0,4,1,1,2,0,4,1,1,2,0,4,1,1,2,0,4,1,1,2,0,4,1,1,2,0,4,1,2,2,0,5,1,2,2,0,5,1,2,2,0,5,1,2,2,0,5,1,2,2,0,5,1,2,2,0,5,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1
Eastern Region,Andaman & Nicobar Islands,Private Sector Banks,AXIS BANK LIMITED,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,0,1,0,2,1,0,1,0,2,1,0,1,0,2,1,0,1,0,2,1,0,1,0,2,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1
Eastern Region,Andaman & Nicobar Islands,Private Sector Banks,HDFC BANK LTD.,1,0,2,0,3,1,0,2,0,3,1,0,2,0,3,1,0,2,0,3,1,0,2,0,3,1,0,2,0,3,1,0,2,0,3,1,0,2,0,3,1,0,2,0,3,1,0,2,0,3,1,0,2,0,3,1,0,2,0,3,1,0,2,0,3,1,0,2,0,3,0,0,2,0,2,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Region,Andaman & Nicobar Islands,Private Sector Banks,ICICI BANK LIMITED,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,1,1,1,0,3,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southern Region,Andhra Pradesh,SBI and its Associates,STATE BANK OF INDIA,459,505,423,202,1589,458,503,413,201,1575,459,501,411,201,1572,457,501,408,201,1567,456,501,408,201,1566,456,497,406,201,1560,456,499,428,205,1588,456,495,418,203,1572,456,495,419,202,1572,471,512,421,202,1606,468,501,422,194,1585,465,472,382,187,1506,452,467,372,180,1471,451,458,357,179,1445,451,458,356,183,1448,449,458,357,184,1448,447,462,360,185,1454,451,468,363,193,1475,453,471,367,194,1485,453,471,366,194,1484,455,476,362,200,1493,461,493,369,210,1533,463,531,388,222,1604,354,359,251,147,1111,353,359,251,147,1110,353,359,251,147,1110,345,352,240,141,1078,345,352,238,140,1075,344,351,233,135,1063,343,351,232,133,1059,342,350,229,132,1053,342,349,229,130,1050,341,347,226,129,1043,339,347,228,127,1041,339,345,226,127,1037,339,343,226,127,1035,332,340,228,126,1026,327,335,234,125,1021,325,335,227,121,1008,322,334,226,118,1000,316,330,220,116,982,310,329,210,114,963,309,325,208,110,952,309,324,208,109,950,301,321,204,108,934,279,319,201,105,904,276,318,198,102,894,272,315,197,101,885,258,307,188,96,849,250,303,188,95,836,250,303,188,94,835,243,296,183,90,812,240,293,179,90,802,232,285,169,90,776,228,280,163,89,760,225,273,156,88,742,222,269,146,87,724,220,266,139,87,712,220,266,135,85,706,219,266,136,81,702,212,253,123,76,664,211,252,114,65,642,211,249,114,65,639,211,248,107,65,631,210,248,106,63,627,210,248,106,61,625,209,248,105,61,623,209,248,104,61,622
Southern Region,Andhra Pradesh,Nationalised Banks,BANK OF BARODA,74,68,73,30,245,74,68,73,30,245,74,68,73,30,245,75,68,72,30,245,75,68,72,30,245,75,68,72,30,245,75,68,72,30,245,75,68,72,30,245,75,68,72,30,245,76,70,90,31,267,76,74,94,35,279,76,80,96,40,292,76,80,96,40,292,76,80,96,40,292,76,80,96,41,293,25,45,40,24,134,24,43,40,24,131,24,43,40,24,131,24,42,40,23,129,24,42,40,22,128,24,42,39,22,127,24,42,39,22,127,24,42,39,22,127,24,41,39,22,126,22,35,39,21,117,22,35,39,21,117,22,35,39,21,117,22,35,38,20,115,21,34,38,18,111,20,34,38,18,110,20,34,37,18,109,20,34,37,18,109,18,34,33,16,101,18,34,33,16,101,17,33,32,16,98,17,33,32,16,98,12,26,30,12,80,12,26,30,12,80,12,26,30,12,80,12,26,30,12,80,12,23,30,12,77,12,23,30,11,76,11,22,29,11,73,11,22,29,10,72,11,19,26,9,65,11,16,25,9,61,11,13,25,9,58,11,12,23,9,55,11,11,22,7,51,11,11,22,7,51,11,10,21,7,49,11,10,21,7,49,11,10,21,7,49,11,9,20,7,47,10,9,20,8,47,10,9,19,8,46,10,9,19,8,46,10,9,19,8,46,10,9,19,8,46,10,9,19,8,46,10,9,17,8,44,10,9,17,8,44,10,9,17,8,44,10,9,17,8,44,10,9,17,8,44,10,9,17,8,44,10,9,17,8,44,10,9,17,8,44
Southern Region,Andhra Pradesh,Private Sector Banks,AXIS BANK LIMITED,26,67,55,32,180,25,67,55,32,179,27,67,55,30,179,27,67,55,30,179,27,67,55,30,179,27,67,55,30,179,27,67,55,30,179,27,67,55,30,179,27,67,55,30,179,27,67,55,30,179,27,63,55,30,175,27,63,55,30,175,27,63,55,29,174,25,57,55,28,165,25,55,52,27,159,25,55,52,27,159,25,54,52,27,158,25,50,51,27,153,24,44,49,27,144,24,42,49,25,140,20,42,49,25,136,19,40,50,25,134,17,37,50,25,129,16,36,48,25,125,11,34,47,24,116,11,34,46,22,113,11,34,44,21,110,11,34,43,21,109,11,29,42,19,101,11,29,40,19,99,11,24,36,17,88,11,24,36,17,88,11,24,36,16,87,11,23,34,16,84,11,21,32,15,79,11,21,31,17,80,11,21,31,17,80,11,21,31,16,79,11,21,31,16,79,11,19,31,16,77,3,15,28,16,62,3,15,28,15,61,3,14,28,13,58,3,13,27,13,56,3,12,27,13,55,3,12,27,13,55,3,12,26,13,54,3,12,26,13,54,3,8,24,9,44,3,8,24,9,44,3,8,23,8,42,3,7,22,8,40,3,6,21,8,38,3,5,19,7,34,3,5,19,7,34,3,5,18,7,33,2,4,18,7,31,2,4,18,7,31,2,4,18,7,31,2,4,18,6,30,2,4,16,6,28,2,3,15,3,23,2,3,14,3,22,2,3,13,3,21,2,2,10,3,17,2,2,10,3,17,2,2,10,3,17,1,2,10,2,15
Southern Region,Andhra Pradesh,Private Sector Banks,HDFC BANK LTD.,20,121,99,63,303,19,106,88,61,274,17,98,84,59,258,17,96,83,57,253,13,81,73,46,213,13,80,73,45,211,13,78,69,45,205,13,77,65,45,200,13,71,55,41,180,12,70,55,40,177,12,68,51,36,167,12,68,51,36,167,12,66,50,36,164,12,66,49,36,163,12,65,45,34,156,12,65,45,34,156,11,65,45,34,155,11,65,44,28,148,10,65,44,28,147,10,65,44,28,147,9,65,44,28,146,9,65,44,28,146,9,65,44,28,146,9,65,44,28,146,8,62,41,23,134,8,62,41,23,134,8,62,41,23,134,8,62,41,23,134,7,59,39,20,125,7,59,39,19,124,6,59,38,18,121,6,58,37,18,119,6,52,31,14,103,5,52,31,12,100,5,52,31,12,100,5,52,31,12,100,4,52,31,12,99,3,52,31,12,98,3,52,31,12,98,3,49,31,12,95,2,36,31,11,80,1,36,31,11,79,1,36,29,11,77,1,35,29,11,76,1,23,21,8,53,1,20,20,8,49,1,20,20,8,49,1,13,20,8,42,1,8,18,8,35,1,8,18,8,35,1,6,18,8,33,1,6,18,8,33,1,6,18,8,33,1,4,16,7,28,1,4,15,7,27,1,4,15,7,27,1,4,15,7,27,1,4,15,7,27,0,2,11,7,20,0,1,9,3,13,0,1,9,3,13,0,1,9,3,13,0,1,9,3,13,0,1,9,3,13,0,0,7,3,10,0,0,5,3,8,0,0,5,3,8,0,0,5,3,8
Southern Region,Andhra Pradesh,Private Sector Banks,ICICI BANK LIMITED,48,73,49,35,205,48,69,46,35,198,47,69,42,34,192,47,66,40,31,184,47,65,40,30,182,47,64,40,30,181,47,64,40,29,180,46,64,40,29,179,46,64,40,29,179,46,64,40,29,179,46,64,41,29,180,46,64,41,28,179,46,64,41,28,179,45,64,41,28,178,43,55,37,23,158,43,55,37,21,156,43,55,37,21,156,43,55,37,21,156,43,55,37,21,156,43,55,37,21,156,43,55,37,21,156,43,55,37,21,156,43,55,37,21,156,43,55,37,21,156,36,47,37,16,136,35,42,37,16,130,35,42,37,16,130,35,42,37,16,130,35,38,36,15,124,35,30,36,15,116,35,30,36,15,116,35,30,36,15,116,33,27,34,13,107,33,27,34,12,106,33,27,34,12,106,31,27,34,12,104,30,26,33,12,101,22,25,33,12,92,16,25,31,11,83,5,23,30,11,69,5,23,28,11,67,5,23,28,11,67,5,22,28,11,66,5,22,28,11,66,2,18,28,10,58,2,17,28,10,57,2,17,28,10,57,2,17,28,10,57,2,17,28,10,57,2,17,28,10,57,2,17,27,9,55,2,17,24,7,50,2,17,24,6,49,2,17,24,6,49,1,16,22,6,45,1,16,22,6,45,1,16,22,6,45,1,16,22,6,45,1,16,22,6,45,1,16,20,6,43,0,5,8,6,19,0,5,8,6,19,0,5,8,6,19,0,5,8,5,18,0,2,8,5,15,0,0,7,5,12,0,0,7,5,12,0,0,7,5,12
